,app_id,url
0,com.nof.makanoh.openkeypos,https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/production/sdk-core-v40-impl.html
1,com.nof.makanoh.openkeypos,https://googleads.g.doubleclick.net/favicon.ico
2,com.nof.makanoh.openkeypos,https://googleads.g.doubleclick.net/getconfig/pubsetting?app_name=com.nof.makanoh.openkeypos&client=ca-app-pub-5056521106774906&admob_appcc=8917732302
3,com.authy.authy,https://firebase-settings.crashlytics.com/spi/v2/platforms/android/gmp/1:812227132821:android:a47d3941edd13d78/settings?instance=c1ccc4c6edd6e191ada74e4cec48241b464f71f2&build_version=121&display_version=24.3.7&source=1
4,com.authy.authy,https://firebaseinstallations.googleapis.com/v1/projects/authy-app/installations
5,com.authy.authy,https://kinesis.us-east-1.amazonaws.com/
6,com.dreammirae.otp.android.mirae.multiid.market,https://firebase-settings.crashlytics.com/spi/v2/platforms/android/gmp/1:287208951968:android:fc6effe541b2f047/settings?instance=91dedc3feb98ff88c4b6f4644824b2bc46f5dad1&build_version=29&display_version=2.4.0&source=1
7,com.dreammirae.otp.android.mirae.multiid.market,https://firebaseinstallations.googleapis.com/v1/projects/anyotp-79baf/installations
8,com.dreammirae.otp.android.mirae.multiid.market,https://firebaseremoteconfig.googleapis.com/v1/projects/287208951968/namespaces/firebase:fetch
9,com.dreammirae.otp.android.mirae.multiid.market,https://mgw.dreammirae.com:8443/mobile/json
10,com.dreammirae.otp.android.mirae.multiid.market,https://mgw.dreammirae.com:8443/mobile/img/121120210804103100542.png
11,hr.asseco.android.jimba.otpretailng,https://mbanking.otpbanka.hr/spp/PS/Marketing/getBanner
12,hr.asseco.android.jimba.otpretailng,https://www.otpbanka.hr/sites/default/files/doc/img/mbanking/Klik_kredit_600x200_2.jpg
13,hr.asseco.android.jimba.otpretailng,https://www.otpbanka.hr/sites/default/files/doc/img/mbanking/m-banking_banner_digital_paket_600x200.jpg
14,hr.asseco.android.jimba.otpretailng,https://www.otpbanka.hr/sites/default/files/doc/img/mbanking/OTP-Zaokruzi-interni_Banner-m-banking-2-600x200.jpg
15,hr.asseco.android.jimba.otpretailng,https://mbanking.otpbanka.hr/spp/PS/JimbaNgRetailOtpHr/login
16,hr.asseco.android.jimba.otpretailng,https://mbanking.otpbanka.hr/spp/PS/JimbaNgRetailOtpHr/extendedLogin
