app_id,request_comp,name,value
com.nof.makanoh.openkeypos,header,:authority,googleads.g.doubleclick.net
com.nof.makanoh.openkeypos,header,upgrade-insecure-requests,1
com.nof.makanoh.openkeypos,header,user-agent,"Mozilla/5.0 (Linux; Android 10; SM-A505YN Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36 (Mobile; afma-sdk-a-v201004000.201004000.0)"
com.nof.makanoh.openkeypos,header,sec-fetch-user,?1
com.nof.makanoh.openkeypos,header,accept,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3"
com.nof.makanoh.openkeypos,header,x-requested-with,com.nof.makanoh.openkeypos
com.nof.makanoh.openkeypos,header,sec-fetch-site,none
com.nof.makanoh.openkeypos,header,sec-fetch-mode,navigate
com.nof.makanoh.openkeypos,header,accept-encoding,"gzip, deflate"
com.nof.makanoh.openkeypos,header,accept-language,"en-AU,en-US;q=0.9,en;q=0.8"
com.authy.authy,header,:authority,firebase-settings.crashlytics.com
com.authy.authy,header,cache-control,no-cache
com.authy.authy,header,x-crashlytics-developer-token,470fa2b4ae81cd56ecbcda9735803434cec591fa
com.authy.authy,header,x-crashlytics-device-model,samsung/SM-A505YN
com.authy.authy,header,x-crashlytics-installation-id,79be9653e437464d9842f73883085215
com.authy.authy,header,x-crashlytics-os-display-version,10
com.authy.authy,header,accept,application/json
com.authy.authy,header,x-crashlytics-api-client-version,17.0.1
com.authy.authy,header,user-agent,Crashlytics Android SDK/17.0.1
com.authy.authy,header,x-crashlytics-api-client-type,android
com.authy.authy,header,x-crashlytics-google-app-id,1:812227132821:android:a47d3941edd13d78
com.authy.authy,header,x-crashlytics-os-build-version,A505YNDVS4BTJ2
com.authy.authy,header,accept-encoding,gzip
com.authy.authy,queryString,instance,c1ccc4c6edd6e191ada74e4cec48241b464f71f2
com.authy.authy,queryString,build_version,121
com.authy.authy,queryString,display_version,24.3.7
com.authy.authy,queryString,source,1
com.dreammirae.otp.android.mirae.multiid.market,header,:authority,firebase-settings.crashlytics.com
com.dreammirae.otp.android.mirae.multiid.market,header,cache-control,no-cache
com.dreammirae.otp.android.mirae.multiid.market,header,x-crashlytics-developer-token,470fa2b4ae81cd56ecbcda9735803434cec591fa
com.dreammirae.otp.android.mirae.multiid.market,header,x-crashlytics-device-model,samsung/SM-A505YN
com.dreammirae.otp.android.mirae.multiid.market,header,x-crashlytics-installation-id,dc89fad1bca34a18bd70c6c1199635d0
com.dreammirae.otp.android.mirae.multiid.market,header,x-crashlytics-os-display-version,10
com.dreammirae.otp.android.mirae.multiid.market,header,accept,application/json
com.dreammirae.otp.android.mirae.multiid.market,header,x-crashlytics-api-client-version,17.2.1
com.dreammirae.otp.android.mirae.multiid.market,header,user-agent,Crashlytics Android SDK/17.2.1
com.dreammirae.otp.android.mirae.multiid.market,header,x-crashlytics-api-client-type,android
com.dreammirae.otp.android.mirae.multiid.market,header,x-crashlytics-google-app-id,1:287208951968:android:fc6effe541b2f047
com.dreammirae.otp.android.mirae.multiid.market,header,x-crashlytics-os-build-version,A505YNDVS4BTJ2
com.dreammirae.otp.android.mirae.multiid.market,header,accept-encoding,gzip
com.dreammirae.otp.android.mirae.multiid.market,queryString,instance,91dedc3feb98ff88c4b6f4644824b2bc46f5dad1
com.dreammirae.otp.android.mirae.multiid.market,queryString,build_version,29
com.dreammirae.otp.android.mirae.multiid.market,queryString,display_version,2.4.0
com.dreammirae.otp.android.mirae.multiid.market,queryString,source,1
hr.asseco.android.jimba.otpretailng,header,Content-Type,application/json
hr.asseco.android.jimba.otpretailng,header,Connection,Close
hr.asseco.android.jimba.otpretailng,header,Transfer-Encoding,chunked
hr.asseco.android.jimba.otpretailng,header,User-Agent,Dalvik/2.1.0 (Linux; U; Android 10; SM-A505YN Build/QP1A.190711.020)
hr.asseco.android.jimba.otpretailng,header,Host,mbanking.otpbanka.hr
hr.asseco.android.jimba.otpretailng,header,Accept-Encoding,gzip
com.inwebo.authenticator,header,User-Agent,Dalvik/2.1.0 (Linux; U; Android 10; SM-A505YN Build/QP1A.190711.020)
com.inwebo.authenticator,header,Host,www.myinwebo.com
com.inwebo.authenticator,header,Connection,Keep-Alive
com.inwebo.authenticator,header,Accept-Encoding,gzip
com.inwebo.authenticator,queryString,action,ActionSetup
com.inwebo.authenticator,queryString,mode,activate
com.inwebo.authenticator,queryString,id,
com.inwebo.authenticator,queryString,macid,0
com.inwebo.authenticator,queryString,lastsync,0
com.inwebo.authenticator,queryString,version,Android_auth-4.3.2/0.2.16
com.inwebo.authenticator,queryString,code,152855
netinfo.eu.symantec,header,X-Android-Package,netinfo.eu.symantec
